conv_num,experience_type,emotion_type,problem_type,situation,speaker,strategy,message,seeker_survey_empathy,seeker_survey_relevance,seeker_survey_initial_emotion,seeker_survey_final_emotion,supporter_survey_relevance,seeker_question1,seeker_question2,supporter_question1,supporter_question2
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,Hello good afternoon.,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SUPPORTER,Question,"Hi, good afternoon.",5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,I'm feeling anxious that I am going to lose my job.,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SUPPORTER,Reflection of feelings,Losing a job is always anxious.,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,I hope I don't.,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SUPPORTER,Question,Why do you think you will lose your job?,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,I am on short term disability and I am not ready to go back to work yet but I do not have any job protection.,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SUPPORTER,Restatement or Paraphrasing,Oh so your job is not protected and your short term disability will end soon? Is that correct?,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,"It's not ending yet, but no my job is not protected. I live in the United States, but I have not been at my job long enough to earn protection for medical leave.",5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,"you have to have been here for a year, and I started November 2020",5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,I'm afraid that I will lose my job since I'm still on disability for the foreseeable future.,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
